iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,18885,18885,47414,138
2,15027,15027,49592,138
3,13951,13951,49943,138
4,10735,10735,50036,138
5,8245,8245,50050,138
6,7173,7173,50050,138
7,5879,5879,50050,138
8,4872,4872,50050,138
9,3891,3891,49409,138
10,2691,2691,49958,138
11,2269,2269,49402,138
12,1584,1584,49716,138
13,1342,1342,31149,138
14,974,974,19193,138
15,620,620,4542,138
16,460,460,2778,138
17,354,354,1218,138
18,199,199,890,138
19,169,169,593,138
20,160,160,416,138
