iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,42965,42965,51810,253
2,37115,37115,45126,253
3,31894,31894,39062,253
4,27650,27650,33408,253
5,23309,23309,27339,253
6,18951,18951,23409,253
7,15305,15305,19461,253
8,11337,11337,16131,253
9,10153,10153,12642,253
10,8246,8246,10442,253
11,6634,6634,8649,253
12,5347,5347,6890,253
13,3900,3900,6133,253
14,2968,2968,4493,253
15,2233,2233,3607,253
16,1616,1616,2641,253
17,1207,1207,2159,253
18,827,827,1481,253
19,525,525,1132,253
20,406,406,685,253
