iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,34082,34082,54677,253
2,23658,23658,46939,253
3,17974,17974,38909,253
4,11518,11518,31275,253
5,7952,7952,23997,253
6,5482,5482,18369,253
7,3930,3930,13352,253
8,2790,2790,10059,253
9,2087,2087,7493,253
10,1745,1745,5367,253
11,1259,1259,4017,253
12,1157,1157,3089,253
13,884,884,2507,253
14,693,693,2021,253
15,580,580,1599,253
16,576,576,1452,253
17,471,471,1303,253
18,471,472,1096,253
19,373,373,959,253
20,366,366,861,253
