iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,44030,44030,51363,253
2,38951,38951,46187,253
3,31752,31752,40243,253
4,26346,26346,32909,253
5,22476,22476,27815,253
6,18573,18573,23543,253
7,16608,16608,19540,253
8,13746,13746,17329,253
9,11548,11548,14302,253
10,9407,9407,12083,253
11,7621,7621,9593,253
12,5966,5966,8396,253
13,4975,4975,6519,253
14,4024,4024,4958,253
15,3047,3047,4072,253
16,2409,2409,3476,253
17,1770,1770,2892,253
18,1339,1339,2032,253
19,872,872,1724,253
20,656,656,1261,253
