iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,19296,19296,48495,429
2,16968,16968,49748,429
3,12116,12116,49578,429
4,10691,10691,50050,429
5,8794,8794,50050,429
6,7241,7241,50050,429
7,6299,6299,50050,429
8,5112,5112,49991,429
9,3854,3854,50024,429
10,3121,3121,42816,429
11,2640,2640,34697,429
12,2079,2079,23472,429
13,1710,1710,9382,429
14,1302,1302,8416,429
15,1063,1063,6029,429
16,895,895,3068,429
17,689,689,1852,429
18,594,594,1296,429
19,501,501,1213,429
20,476,476,718,429
