iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,38200,38200,60591,253
2,29881,29881,51825,253
3,23892,23892,44537,253
4,18481,18481,37743,253
5,13648,13648,30429,253
6,11090,11090,25399,253
7,9087,9087,20815,253
8,7442,7442,15987,253
9,5762,5762,12490,253
10,4971,4971,9748,253
11,4044,4044,7452,253
12,2947,2947,6315,253
13,2589,2589,5013,253
14,2166,2166,4183,253
15,1917,1917,3507,253
16,1392,1392,2722,253
17,1118,1118,2360,253
18,962,962,2012,253
19,793,793,1704,253
20,763,763,1431,253
