iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,20671,20671,26214,429
2,18467,18467,22599,429
3,16051,16051,19714,429
4,13634,13634,16931,429
5,11668,11668,14402,429
6,9811,9811,11872,429
7,7944,7944,10415,429
8,6542,6542,8244,429
9,5229,5229,6810,429
10,4140,4140,5791,429
11,3515,3515,4991,429
12,2865,2865,3992,429
13,2173,2173,3225,429
14,1632,1632,2698,429
15,1284,1284,2125,429
16,1006,1006,1506,429
17,815,815,1229,429
18,582,582,951,429
19,536,536,722,429
20,500,500,621,429
