iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,38563,38563,94569,253
2,30274,30274,99639,253
3,23742,23742,101201,253
4,18426,18426,100217,253
5,16335,16335,101192,253
6,13135,13135,101188,253
7,10415,10415,100956,253
8,8538,8538,101125,253
9,7271,7271,100755,253
10,6860,6860,100161,253
11,5628,5628,94952,253
12,4292,4292,93830,253
13,3874,3874,72441,253
14,2963,2963,39854,253
15,2142,2142,26258,253
16,1618,1618,22139,253
17,896,896,5336,253
18,596,596,2323,253
19,482,482,1416,253
20,334,334,1036,253
