iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,39283,39283,59873,253
2,30588,30588,53189,253
3,24027,24027,45437,253
4,19525,19525,37354,253
5,15440,15440,31180,253
6,11849,11849,25913,253
7,8512,8512,19947,253
8,7078,7078,15988,253
9,5769,5769,12951,253
10,4758,4758,9576,253
11,3928,3928,8072,253
12,3160,3160,6134,253
13,2472,2472,5032,253
14,1949,1949,4177,253
15,1485,1485,3251,253
16,1276,1276,2567,253
17,1172,1172,2128,253
18,860,860,1785,253
19,681,681,1509,253
20,544,544,1404,253
