iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,20263,20263,25536,429
2,17737,17737,21865,429
3,14663,14663,18902,429
4,13298,13298,15974,429
5,12020,12020,14177,429
6,9787,9787,12472,429
7,7683,7683,10145,429
8,5969,5969,8431,429
9,5020,5020,6844,429
10,4332,4332,5743,429
11,3374,3374,4660,429
12,2767,2767,3866,429
13,2050,2050,3166,429
14,1694,1694,2470,429
15,1314,1314,1983,429
16,979,979,1524,429
17,774,774,1195,429
18,620,620,968,429
19,531,531,751,429
20,494,494,621,429
