iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,17176,17176,29530,138
2,13606,13606,25633,138
3,10206,10206,21577,138
4,8272,8272,17549,138
5,6918,6918,14501,138
6,5584,5584,11801,138
7,4507,4507,9595,138
8,3292,3292,7461,138
9,2607,2607,6330,138
10,2154,2154,4579,138
11,1803,1803,3834,138
12,1417,1417,2963,138
13,1241,1241,2351,138
14,1120,1120,1959,138
15,858,858,1634,138
16,686,686,1599,138
17,552,552,1217,138
18,538,538,1061,138
19,350,350,960,138
20,284,284,789,138
