iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,36809,36809,94934,253
2,30174,30174,97989,253
3,24005,24005,99102,253
4,18711,18711,100528,253
5,18571,18571,98715,253
6,14436,14436,98847,253
7,11750,11750,100700,253
8,10927,10927,98183,253
9,10927,14257,99075,253
10,9737,9737,96841,253
11,7341,7341,82605,253
12,6824,6824,66660,253
13,5043,5043,51605,253
14,3705,3705,29444,253
15,2986,2986,22963,253
16,2222,2222,7852,253
17,1089,1089,5853,253
18,807,807,4017,253
19,596,596,4002,253
20,475,475,2815,253
