iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,18344,18344,21353,138
2,12372,12372,16128,138
3,8501,8501,11760,138
4,5450,5450,7439,138
5,3618,3618,5727,138
6,2340,2340,3583,138
7,1163,1163,2359,138
8,714,714,1817,138
9,414,414,1387,138
10,271,271,786,138
11,210,210,519,138
12,163,163,375,138
13,159,159,277,138
14,155,155,212,138
15,155,155,174,138
16,152,152,173,138
17,152,152,171,138
18,152,152,169,138
19,151,151,171,138
20,150,150,166,138
