iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,38818,38818,59518,253
2,30571,30571,52704,253
3,24726,24726,45044,253
4,19855,19855,38212,253
5,15487,15487,30951,253
6,12789,12789,25137,253
7,9942,9942,19827,253
8,7935,7935,16005,253
9,5786,5786,12852,253
10,4456,4456,10134,253
11,3740,3740,7973,253
12,2930,2930,6459,253
13,2338,2338,5152,253
14,1979,1979,3928,253
15,1665,1665,3078,253
16,1260,1260,2744,253
17,833,833,2217,253
18,686,686,1893,253
19,572,572,1522,253
20,466,466,1249,253
