iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,44317,44317,50159,253
2,35691,35691,45859,253
3,30603,30603,38068,253
4,25371,25371,31784,253
5,22050,22050,26740,253
6,18530,18530,22404,253
7,15829,15829,19108,253
8,12794,12794,15903,253
9,10733,10733,13057,253
10,8925,8925,11366,253
11,7397,7397,9031,253
12,6098,6098,7728,253
13,4545,4545,6193,253
14,3625,3625,4959,253
15,2767,2767,3938,253
16,2017,2017,3373,253
17,1467,1467,2409,253
18,1180,1180,1827,253
19,756,756,1497,253
20,641,641,1022,253
