iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,18153,18153,29403,138
2,14834,14834,25478,138
3,11467,11467,22779,138
4,8971,8971,19431,138
5,7286,7286,15546,138
6,6130,6130,12770,138
7,4861,4861,10100,138
8,4068,4068,8237,138
9,3160,3160,6546,138
10,2463,2463,5171,138
11,1812,1812,4152,138
12,1585,1585,3503,138
13,1317,1317,2678,138
14,1142,1142,2109,138
15,914,914,1952,138
16,727,727,1596,138
17,627,627,1488,138
18,317,317,1246,138
19,273,273,945,138
20,258,258,819,138
