iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,39910,39910,60227,253
2,31760,31760,52661,253
3,25341,25341,46078,253
4,20354,20354,38054,253
5,15815,15815,32217,253
6,11976,11976,26158,253
7,9134,9134,20427,253
8,7516,7516,16349,253
9,5971,5971,12834,253
10,4650,4650,10626,253
11,3548,3548,7814,253
12,2667,2667,6404,253
13,2244,2244,4886,253
14,1600,1600,3873,253
15,1218,1218,3153,253
16,1043,1043,2454,253
17,969,969,2003,253
18,717,717,1802,253
19,717,727,1549,253
20,597,597,1256,253
