iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,42822,42822,51335,253
2,35475,35475,45186,253
3,31690,31690,39086,253
4,26619,26619,32895,253
5,22717,22717,27176,253
6,19292,19292,23211,253
7,15544,15544,20097,253
8,12566,12566,16741,253
9,10725,10725,13124,253
10,8692,8692,11127,253
11,7440,7440,9073,253
12,5919,5919,7983,253
13,4733,4733,6071,253
14,3701,3701,5137,253
15,2869,2869,4203,253
16,2175,2175,3240,253
17,1732,1732,2568,253
18,1174,1174,1865,253
19,894,894,1522,253
20,625,625,968,253
