iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,21358,21358,25697,138
2,17871,17871,22333,138
3,15639,15639,19560,138
4,13669,13669,17811,138
5,10898,10898,15030,138
6,9478,9478,11952,138
7,7871,7871,10308,138
8,6094,6094,8849,138
9,5551,5551,7327,138
10,4469,4469,5903,138
11,3517,3517,5341,138
12,2827,2827,4307,138
13,1769,1769,3168,138
14,1227,1227,2203,138
15,984,984,1496,138
16,557,557,1142,138
17,380,380,884,138
18,288,288,514,138
19,236,236,405,138
20,208,208,319,138
