iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,463,463,21003,429
2,455,455,2236,429
3,444,444,767,429
4,438,438,535,429
5,436,436,463,429
6,436,436,463,429
7,433,433,463,429
8,433,433,463,429
9,433,433,463,429
10,433,435,463,429
11,433,433,463,429
12,433,433,463,429
13,433,433,463,429
14,433,433,463,429
15,433,435,463,429
16,433,433,463,429
17,433,433,463,429
18,433,433,463,429
19,433,433,464,429
20,433,433,463,429
