iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,159,159,15273,138
2,154,154,1884,138
3,147,147,453,138
4,145,145,165,138
5,143,143,166,138
6,143,143,161,138
7,143,143,165,138
8,142,142,159,138
9,142,142,163,138
10,142,142,165,138
11,141,141,161,138
12,141,141,160,138
13,141,141,164,138
14,141,141,165,138
15,141,141,164,138
16,141,141,159,138
17,141,141,160,138
18,141,141,166,138
19,141,141,165,138
20,141,141,162,138
