iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,18214,18214,29641,429
2,13562,13562,26655,429
3,10896,10896,21885,429
4,8647,8647,17928,429
5,7273,7273,14976,429
6,4915,4915,12267,429
7,4256,4256,9599,429
8,3582,3582,7938,429
9,3335,3335,6533,429
10,2861,2861,4926,429
11,2345,2345,4445,429
12,2201,2201,3458,429
13,1803,1803,3136,429
14,1481,1481,2436,429
15,1185,1185,2194,429
16,1084,1084,1977,429
17,1025,1025,1811,429
18,898,898,1492,429
19,843,843,1355,429
20,761,761,1297,429
