iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,19456,19456,25296,138
2,18226,18226,21727,138
3,15267,15267,19564,138
4,12477,12477,16247,138
5,9880,9880,14061,138
6,8283,8283,11373,138
7,6974,6974,9141,138
8,5273,5273,7927,138
9,4338,4338,6918,138
10,3301,3301,5305,138
11,2491,2491,3737,138
12,1897,1897,3043,138
13,1363,1363,2542,138
14,1143,1143,1862,138
15,762,762,1369,138
16,552,552,1152,138
17,366,366,798,138
18,259,259,487,138
19,171,171,371,138
20,161,161,220,138
