iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,20626,20626,25772,138
2,17324,17324,22452,138
3,14788,14788,19237,138
4,12500,12500,15990,138
5,10424,10424,13410,138
6,8754,8754,11967,138
7,7793,7793,9770,138
8,6063,6063,8614,138
9,5071,5071,7610,138
10,4478,4478,5671,138
11,3640,3640,5310,138
12,2808,2808,4227,138
13,2036,2036,3216,138
14,1585,1585,2428,138
15,1217,1217,2075,138
16,902,902,1529,138
17,662,662,1096,138
18,486,486,890,138
19,345,345,616,138
20,231,231,459,138
