iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,36888,36888,59687,253
2,28184,28184,52033,253
3,21578,21578,43785,253
4,17207,17207,36069,253
5,13409,13409,29641,253
6,11209,11209,23999,253
7,9331,9331,19069,253
8,7670,7670,15316,253
9,6027,6027,11847,253
10,4521,4521,9703,253
11,3700,3700,7800,253
12,2958,2958,5970,253
13,2249,2249,5044,253
14,1589,1589,4010,253
15,1350,1350,3393,253
16,1052,1052,2655,253
17,920,920,2030,253
18,844,844,1651,253
19,654,654,1440,253
20,512,512,1378,253
