iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,16614,16614,29624,429
2,12885,12885,25133,429
3,10163,10163,21561,429
4,8644,8644,17611,429
5,6618,6618,15330,429
6,5322,5322,11777,429
7,4515,4515,9268,429
8,3632,3632,7442,429
9,2857,2857,6382,429
10,2183,2183,5026,429
11,2001,2001,4009,429
12,1719,1719,3282,429
13,1076,1076,2603,429
14,892,892,2170,429
15,863,863,1880,429
16,678,678,1623,429
17,598,598,1312,429
18,590,590,1273,429
19,587,587,969,429
20,480,480,867,429
