iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,17121,17121,29675,138
2,13605,13605,26484,138
3,11485,11485,21774,138
4,9199,9199,18536,138
5,7238,7238,15125,138
6,5940,5940,12047,138
7,4271,4271,9599,138
8,3428,3428,7479,138
9,2914,2914,6232,138
10,2409,2409,4991,138
11,1913,1913,3826,138
12,1643,1643,3193,138
13,1414,1414,2651,138
14,1025,1025,2313,138
15,738,738,1901,138
16,532,532,1466,138
17,487,487,1173,138
18,414,414,981,138
19,362,362,927,138
20,261,261,769,138
