iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,37405,37405,42284,253
2,24845,24845,31860,253
3,17653,17653,22854,253
4,11497,11497,16097,253
5,6938,6938,10985,253
6,4683,4683,6928,253
7,2818,2818,5275,253
8,1888,1888,3691,253
9,1088,1088,2292,253
10,767,767,1620,253
11,422,422,1132,253
12,351,351,927,253
13,280,280,563,253
14,271,271,467,253
15,271,274,343,253
16,271,271,295,253
17,270,270,293,253
18,267,267,284,253
19,267,268,280,253
20,267,267,278,253
