iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,17966,17966,29585,429
2,13959,13959,25677,429
3,10889,10889,21853,429
4,8556,8556,18409,429
5,7164,7164,14932,429
6,5903,5903,12324,429
7,4682,4682,9924,429
8,3467,3467,7623,429
9,2943,2943,6205,429
10,2433,2433,5144,429
11,2052,2052,4092,429
12,1545,1545,3479,429
13,1253,1253,2688,429
14,1034,1034,2100,429
15,837,837,1693,429
16,824,824,1500,429
17,812,812,1244,429
18,658,658,1220,429
19,579,579,1118,429
20,545,545,1063,429
