iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,17963,17963,44670,429
2,13381,13381,48403,429
3,10403,10403,49511,429
4,8928,8928,50050,429
5,8928,9072,49887,429
6,6904,6904,49954,429
7,5130,5130,49199,429
8,4487,4487,48025,429
9,4279,4279,47643,429
10,3274,3274,47448,429
11,2555,2555,48230,429
12,1871,1871,37744,429
13,1518,1518,33414,429
14,1206,1206,26002,429
15,807,807,5689,429
16,665,665,3836,429
17,564,564,1501,429
18,506,506,1176,429
19,467,467,998,429
20,456,456,526,429
