iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,37784,37784,94634,253
2,29772,29772,99421,253
3,25582,25582,99440,253
4,20897,20897,100311,253
5,20897,23783,101125,253
6,20897,22006,101055,253
7,17175,17175,101026,253
8,13124,13124,100469,253
9,11338,11338,100148,253
10,10012,10012,99833,253
11,8070,8070,90085,253
12,5977,5977,85410,253
13,4700,4700,74632,253
14,3596,3596,64236,253
15,2439,2439,28628,253
16,1587,1587,7927,253
17,1165,1165,3069,253
18,849,849,2780,253
19,623,623,2805,253
20,442,442,1800,253
