iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,18282,18282,29604,429
2,13836,13836,26143,429
3,11275,11275,22229,429
4,9284,9284,18226,429
5,7577,7577,15015,429
6,6189,6189,12213,429
7,4903,4903,10326,429
8,3887,3887,8353,429
9,3260,3260,6789,429
10,2589,2589,5887,429
11,2105,2105,4577,429
12,1758,1758,3362,429
13,1437,1437,2869,429
14,1060,1060,2485,429
15,1012,1012,2039,429
16,890,890,1652,429
17,884,884,1551,429
18,703,703,1378,429
19,703,706,1235,429
20,647,647,1056,429
