iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,18253,18253,29887,138
2,15023,15023,25691,138
3,12050,12050,21815,138
4,9771,9771,19441,138
5,7806,7806,15755,138
6,5602,5602,12733,138
7,4315,4315,10287,138
8,3524,3524,8182,138
9,2490,2490,6349,138
10,2006,2006,4920,138
11,1709,1709,3856,138
12,1426,1426,3095,138
13,1192,1192,2545,138
14,1035,1035,1871,138
15,773,773,1796,138
16,632,632,1445,138
17,546,546,1228,138
18,357,357,1072,138
19,274,274,901,138
20,252,252,815,138
