iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,37879,37879,41876,253
2,26150,26150,32951,253
3,16730,16730,21338,253
4,11291,11291,15929,253
5,7241,7241,10333,253
6,4832,4832,6603,253
7,2815,2815,4309,253
8,1566,1566,3083,253
9,1086,1086,2123,253
10,600,600,1470,253
11,505,505,1136,253
12,375,375,856,253
13,288,288,621,253
14,278,278,350,253
15,276,276,324,253
16,275,275,308,253
17,272,272,289,253
18,269,269,287,253
19,269,269,283,253
20,269,269,284,253
