iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,17655,17655,43504,138
2,14199,14199,48570,138
3,10724,10724,49295,138
4,8463,8463,49515,138
5,6399,6399,48872,138
6,5057,5057,49506,138
7,3965,3965,49506,138
8,3165,3165,48862,138
9,2430,2430,42935,138
10,2144,2144,43707,138
11,1960,1960,39883,138
12,1473,1473,39781,138
13,1128,1128,26377,138
14,901,901,24970,138
15,592,592,15665,138
16,443,443,14451,138
17,323,323,1244,138
18,246,246,1381,138
19,205,205,579,138
20,163,163,381,138
