iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,18482,18482,44323,429
2,14442,14442,49528,429
3,11715,11715,49540,429
4,9221,9221,49651,429
5,7488,7488,50050,429
6,6198,6198,49993,429
7,4431,4431,50050,429
8,3416,3416,49818,429
9,2537,2537,48368,429
10,2156,2156,48112,429
11,1755,1755,44863,429
12,1397,1397,28877,429
13,1172,1172,13618,429
14,909,909,7160,429
15,763,763,3776,429
16,675,675,2355,429
17,526,526,1087,429
18,462,462,986,429
19,456,456,1012,429
20,451,451,810,429
