iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,18647,18647,47078,138
2,16283,16283,49086,138
3,13471,13471,49865,138
4,10797,10797,49995,138
5,8506,8506,49872,138
6,6405,6405,49956,138
7,5008,5008,46049,138
8,4237,4237,46302,138
9,3819,3819,46911,138
10,3426,3426,43625,138
11,2725,2725,41819,138
12,2013,2013,37891,138
13,1662,1662,36017,138
14,1247,1247,17724,138
15,926,926,10246,138
16,668,668,9066,138
17,417,417,8386,138
18,291,291,1013,138
19,189,189,727,138
20,154,154,641,138
