iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,33185,33185,56188,253
2,23811,23811,47504,253
3,17210,17210,39359,253
4,11734,11734,31148,253
5,8002,8002,24179,253
6,5385,5385,17941,253
7,3846,3846,13061,253
8,2902,2902,9753,253
9,2111,2111,7085,253
10,1484,1484,5085,253
11,1040,1040,3602,253
12,843,843,2693,253
13,661,661,2148,253
14,505,505,2045,253
15,502,502,1609,253
16,423,423,1348,253
17,391,391,1257,253
18,284,284,940,253
19,284,288,946,253
20,284,287,876,253
