iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,43576,43576,50010,253
2,37839,37839,45069,253
3,32868,32868,39119,253
4,29100,29100,33616,253
5,24558,24558,31291,253
6,21053,21053,25139,253
7,16769,16769,20499,253
8,13388,13388,17738,253
9,10913,10913,14354,253
10,9922,9922,11580,253
11,8186,8186,10275,253
12,6523,6523,8630,253
13,5102,5102,7099,253
14,4438,4438,5481,253
15,3476,3476,4790,253
16,2767,2767,3725,253
17,1744,1744,3172,253
18,1496,1496,2181,253
19,1110,1110,1725,253
20,856,856,1500,253
