iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,37187,37187,94690,253
2,32117,32117,100382,253
3,25915,25915,101253,253
4,21210,21210,101279,253
5,19423,19423,101279,253
6,15365,15365,101195,253
7,12592,12592,101115,253
8,9864,9864,101279,253
9,7892,7892,101279,253
10,7007,7007,101115,253
11,6051,6051,88457,253
12,4726,4726,62735,253
13,3800,3800,29803,253
14,2451,2451,28154,253
15,1988,1988,15902,253
16,1079,1079,6111,253
17,830,830,5307,253
18,625,625,3255,253
19,422,422,1382,253
20,315,315,1243,253
