iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,40037,40037,89023,253
2,34931,34931,100806,253
3,27998,27998,100806,253
4,24955,24955,101230,253
5,23576,23576,101226,253
6,19073,19073,101263,253
7,15162,15162,99734,253
8,14926,14926,99935,253
9,11929,11929,100906,253
10,9610,9610,97631,253
11,7329,7329,99535,253
12,5300,5300,72831,253
13,4521,4521,60818,253
14,2617,2617,20485,253
15,1975,1975,11868,253
16,1391,1391,4292,253
17,853,853,2319,253
18,618,618,1362,253
19,438,438,1125,253
20,347,347,1136,253
