iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,17985,17985,44160,429
2,14143,14143,49833,429
3,10938,10938,50050,429
4,10467,10467,50050,429
5,8152,8152,50050,429
6,6372,6372,50050,429
7,5360,5360,50050,429
8,4819,4819,50050,429
9,4819,4907,50050,429
10,4513,4513,49905,429
11,3560,3560,49592,429
12,2584,2584,49126,429
13,2019,2019,45418,429
14,1613,1613,21470,429
15,1395,1395,9404,429
16,1067,1067,5653,429
17,702,702,3506,429
18,558,558,3375,429
19,497,497,1262,429
20,460,460,845,429
