iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,17703,17703,22066,138
2,11854,11854,15650,138
3,7526,7526,11079,138
4,5092,5092,7261,138
5,2969,2969,5584,138
6,1915,1915,3635,138
7,1149,1149,2570,138
8,820,820,1638,138
9,436,436,1150,138
10,259,259,755,138
11,214,214,515,138
12,165,165,462,138
13,162,162,303,138
14,152,152,247,138
15,152,153,186,138
16,151,151,174,138
17,148,148,167,138
18,148,149,171,138
19,146,146,168,138
20,145,145,162,138
