iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,20610,20610,25581,138
2,19193,19193,22811,138
3,15726,15726,20243,138
4,12095,12095,17560,138
5,11168,11168,13986,138
6,9403,9403,11509,138
7,7608,7608,10241,138
8,6128,6128,8789,138
9,4977,4977,6542,138
10,3832,3832,5683,138
11,3023,3023,4486,138
12,2450,2450,3593,138
13,1769,1769,3033,138
14,1462,1462,2316,138
15,1028,1028,1792,138
16,766,766,1479,138
17,503,503,961,138
18,341,341,763,138
19,232,232,492,138
20,184,184,327,138
