iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,21104,21104,26126,429
2,17412,17412,22487,429
3,15618,15618,19013,429
4,12595,12595,16306,429
5,10622,10622,14368,429
6,8007,8007,11610,429
7,6726,6726,9025,429
8,5735,5735,7321,429
9,4754,4754,5907,429
10,3780,3780,5339,429
11,2971,2971,4182,429
12,2449,2449,3758,429
13,2031,2031,2792,429
14,1529,1529,2471,429
15,1213,1213,1962,429
16,1014,1014,1486,429
17,803,803,1151,429
18,616,616,1092,429
19,552,552,812,429
20,502,502,650,429
