iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,32523,32523,54736,253
2,21877,21877,47076,253
3,14616,14616,38100,253
4,10086,10086,30415,253
5,7187,7187,23428,253
6,5577,5577,17756,253
7,3936,3936,13091,253
8,2899,2899,9653,253
9,1938,1938,7149,253
10,1464,1464,5378,253
11,1315,1315,4095,253
12,1161,1161,3019,253
13,995,995,2339,253
14,754,754,2048,253
15,590,590,1682,253
16,539,539,1527,253
17,503,503,1324,253
18,395,395,1211,253
19,394,394,1064,253
20,365,365,893,253
