iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,20994,20994,25098,429
2,18332,18332,23746,429
3,16271,16271,20933,429
4,14355,14355,18710,429
5,10985,10985,14925,429
6,9987,9987,12717,429
7,8630,8630,10592,429
8,6945,6945,9038,429
9,6120,6120,7713,429
10,4621,4621,7084,429
11,3814,3814,5541,429
12,3286,3286,4362,429
13,2591,2591,3934,429
14,2129,2129,2998,429
15,1608,1608,2520,429
16,1215,1215,1919,429
17,903,903,1672,429
18,784,784,1162,429
19,627,627,930,429
20,532,532,711,429
