iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,19959,19959,25083,429
2,16433,16433,21865,429
3,14803,14803,18231,429
4,12962,12962,16121,429
5,10701,10701,13216,429
6,8695,8695,11401,429
7,7355,7355,9489,429
8,5932,5932,8144,429
9,4873,4873,6732,429
10,3597,3597,5630,429
11,2792,2792,4195,429
12,2136,2136,3351,429
13,1566,1566,2657,429
14,1354,1354,2132,429
15,992,992,1568,429
16,855,855,1234,429
17,637,637,1038,429
18,530,530,866,429
19,492,492,700,429
20,462,462,556,429
