iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,18898,18898,44338,138
2,14344,14344,49443,138
3,12800,12800,50009,138
4,10026,10026,50050,138
5,7917,7917,50050,138
6,7391,7391,50050,138
7,5838,5838,50050,138
8,4421,4421,49898,138
9,3841,3841,50032,138
10,2792,2792,48610,138
11,2084,2084,45881,138
12,1837,1837,44517,138
13,1492,1492,35951,138
14,1167,1167,21379,138
15,745,745,21188,138
16,518,518,5757,138
17,412,412,2472,138
18,246,246,1898,138
19,182,182,1778,138
20,159,159,365,138
