iteracion,fitness,mejor iteracion,peor iteracion,optimo
1,19506,19506,46658,429
2,17285,17285,49059,429
3,13354,13354,49972,429
4,11162,11162,50050,429
5,8974,8974,50050,429
6,7269,7269,50039,429
7,6239,6239,49884,429
8,5796,5796,50050,429
9,5796,6483,48831,429
10,5182,5182,49954,429
11,4382,4382,49186,429
12,3483,3483,46486,429
13,2510,2510,23118,429
14,2223,2223,14786,429
15,1737,1737,8845,429
16,1366,1366,2960,429
17,962,962,2518,429
18,744,744,1884,429
19,497,497,1202,429
20,464,464,763,429
